"","DATE","PERMNO","GVKEY","CUSIP","TICKER","NAME","RETURN","GSECTOR","SECTOR","MARKETCAP","ENTVALUE","P2B","EV2S","SIZE"
"1","2000-01-31",24643,1356,"013817101","AA","ALCOA INC",-0.160392,15,"Materials",25.9563915,29.0593915,4.36902735229759,1.61118826236416,10.1641731588451
"2","2000-01-31",59176,1447,"025816109","AXP","AMERICAN EXPRESS CO",-0.007669,40,"Financials",66.23250625,93.81950625,6.45981724861016,3.89551180244146,11.1009266523756
"3","2000-01-31",19561,2285,"097023105","BA","BOEING CO",0.073906,20,"Industrials",32.8524453125,36.8784453125,2.77118897617039,0.930334140073158,10.399781459879
"4","2000-01-31",59408,7647,"060505104","BAC","BANK OF AMERICA CORP",-0.034869,40,"Financials",86.928475375,213.459475375,1.92226074421742,3.77456987153416,11.3728409373826
"5","2000-01-31",18542,2817,"149123101","CAT","CATERPILLAR INC",-0.091368,20,"Industrials",13.7474786875,27.2344786875,2.50136075100073,1.38414711768144,9.5286107180989
"6","2000-01-31",76076,20779,"17275R102","CSCO","CISCO SYSTEMS INC",0.02217,45,"InformationTechnology",377.2275,373.2595,22.830448465775,21.4172308928162,12.8406037327043
"7","2000-01-31",14541,2991,"166764100","CVX","CHEVRON CORP",-0.034632,10,"Energy",60.252796125,67.352796125,3.34644799361289,1.612390982596,11.0063042589897
"8","2000-01-31",11703,4087,"263534109","DD","DU PONT (E I) DE NEMOURS",-0.104364,15,"Materials",55.4334501875,65.7504501875,4.27298621656517,2.16483768561504,10.9229384845233
"9","2000-01-31",26403,3980,"254687106","DIS","DISNEY (WALT) CO",0.241453,25,"ConsumerDiscretionary",85.41225,95.09525,3.65697251241651,3.76943277310924,11.3552448121127
"10","2000-01-31",12060,5047,"369604103","GE","GENERAL ELECTRIC CO",-0.136511,20,"Industrials",512.65116,690.54616,11.5207685738685,5.76897376775271,13.147350892848
"11","2000-01-31",66181,5680,"437076102","HD","HOME DEPOT INC",-0.176364,25,"ConsumerDiscretionary",130.481950125,131.090950125,10.5730451442347,3.57234985080118,11.7789901829603
"12","2000-01-31",27828,5606,"428236103","HPQ","HEWLETT-PACKARD CO",-0.048352,45,"InformationTechnology",108.262124,107.072124,5.60769315238786,2.2931578000514,11.5923106395932
"13","2000-01-31",12490,6066,"459200101","IBM","INTL BUSINESS MACHINES CORP",0.040556,45,"InformationTechnology",211.554766,236.087766,10.9778821026413,3.05054483667563,12.2622391848474
"14","2000-01-31",59328,6008,"458140100","INTC","INTEL CORP",0.201974,45,"InformationTechnology",441.8586875,432.3406875,12.2388357615711,13.5224786531965,12.9987453984027
"15","2000-01-31",22111,6266,"478160104","JNJ","JOHNSON & JOHNSON",-0.077078,35,"HealthCare",97.67033125,97.13033125,5.69506304664723,3.2637880124328,11.4893531199582
"16","2000-01-31",47896,2968,"46625H100","JPM","JPMORGAN CHASE & CO",0.043894,40,"Financials",71.856973125,124.622973125,3.11811556194402,2.10582921806354,11.1824329379462
"17","2000-01-31",11308,3144,"191216100","KO","COCA-COLA CO",-0.013948,30,"ConsumerStaples",116.118118,120.799118,13.044048303752,7.09581285244361,11.6623632106355
"18","2000-01-31",43449,7154,"580135101","MCD","MCDONALD'S CORP",-0.072868,25,"ConsumerDiscretionary",49.940475,56.982575,5.30655024386097,4.26031573359651,10.8185870752022
"19","2000-01-31",22592,7435,"88579Y101","MMM","3M CO",-0.043423,20,"Industrials",35.0538345625,37.3208345625,5.60054873981467,2.28962175230061,10.4646402891178
"20","2000-01-31",22752,7257,"58933Y105","MRK","MERCK & CO",0.173023,35,"HealthCare",142.961242375,145.467542375,11.8133189861755,4.10860266101973,11.8703288401635
"21","2000-01-31",10107,12141,"594918104","MSFT","MICROSOFT CORP",-0.16167,45,"InformationTechnology",556.9625,535.7575,13.9968460997185,23.6809361739745,13.2302531916879
"22","2000-01-31",21936,8530,"717081103","PFE","PFIZER INC",0.115607,35,"HealthCare",141.1309940625,141.5919940625,13.8526692248233,4.94316415523321,11.8574437739778
"23","2000-01-31",18163,8762,"742718109","PG","PROCTER & GAMBLE CO",-0.074661,30,"ConsumerStaples",73.89635,85.19935,6.11319904037062,2.1772296330369,11.2104187146475
"24","2000-01-31",59459,9380,"79299X952","SPC.2","ST PAUL COS",-0.103896,40,"Financials",7.2345,8.1195,1.10231601401798,0.94588769804287,8.88661652817714
"25","2000-01-31",66093,9899,"00206R102","T","AT&T INC",-0.115513,50,"Telecommunications",143.297455,168.948455,5.13040904371487,3.36470276029634,11.8726778537144
"26","2000-01-31",92655,10903,"91324P102","UNH","UNITEDHEALTH GROUP INC",-0.002353,35,"HealthCare",9.677793375,8.949793375,2.64420584016393,0.438801401010002,9.17758919715635
